Shipment_ID,Product,Origin_Country,Destination_Country,Shipment_Date,Min_Temp (°C),Max_Temp (°C),GDP_Chapter,Climate_Zone,Status,EU_Violation
EU-SH-001,Insulin,Italy,Poland,21-05-2024,2.9,3.6,Annex 9,Continental,OK,No
EU-SH-002,mRNA Vaccine,Poland,Greece,27-05-2024,2.2,4.3,Annex 13,Mediterranean,OK,No
EU-SH-003,MonoclonalAntibody,Italy,Belgium,16-10-2024,5.1,9.2,Annex 15,Continental,CRITICAL,No
EU-SH-004,mRNA Vaccine,Poland,Poland,08-04-2024,1.1,3.9,Annex 13,Continental,CRITICAL,Yes
EU-SH-005,MonoclonalAntibody,Germany,Greece,30-07-2024,5.2,6.6,Annex 15,Mediterranean,OK,No
EU-SH-006,MonoclonalAntibody,Germany,Greece,11-01-2024,7.7,9.3,Annex 15,Mediterranean,CRITICAL,No
EU-SH-007,Insulin,Italy,Belgium,10-04-2024,3.5,5.1,Annex 9,Continental,OK,No
EU-SH-008,mRNA Vaccine,Italy,Greece,29-06-2024,10.3,11.6,Annex 13,Mediterranean,CRITICAL,Yes
EU-SH-009,Insulin,Sweden,Poland,08-02-2024,2.5,3.2,Annex 9,Continental,OK,No
EU-SH-010,MonoclonalAntibody,Italy,Greece,12-09-2024,8.5,11.2,Annex 15,Mediterranean,CRITICAL,No
